english,french,german
antidepressants,antidépresseur,anti depressiva
anxiety,anxiété,angstgefühl
ashamed of myself,honte de moi-même,mich schähmen
bipolar,bipolaire,manisch depressiv
bipolar disorder,trouble bipolaire,bipolare störung
feeling blue,avoir le cafard,deprimiert sein
cheerless,sombre,freudlos
cymbalta,cymbalta,cymbalta
dejection,déprime,bedrücktheit
depression,dépression,depression
despair,désespoir,verzweiflung
distress,détresse,bekümmern
don’t want to live anymore,je veux plus vivre,will nichtmehr leben
empty,sens vide,leer
feeling low,ne pas avoir la pêche,niedergeschlagen
feelings of guilt,sentiments de culpabilité,schuldgefühle
feelings of worthlessness,,sich werlos fühlen
gloomy,sombre,trübselig
hate myself,Je me déteste,mich hassen
heart broken,coeur brisé,gebrochenes herz
hopeless,désespéré,hoffnungslos
insomnia,insomnie,insomnia
kill myself,me tuer,sich umbringen
loneliness,solitude,einsamkeit
lonely,me sens seu,einsam
nervous,nerveux,nervös
overthinking,trop réfléchir,überdenken
pills for depression,pilules pour la dépression,pillen gegen depression
pristiq,pristiq,pristiq
sad,triste,traurig
SAD,dépression saisonnière,jahreszeitlich depression
schizophrenia,schizophrénie,schizophrenie
seasonal affective disorders,,
social anxiety,anxiété sociale,sozialen angststörungen
suicide,suicide,suizid
therapy,thérapie,therapie
unfortunately,malheureusement,unglücklicherweise
vilazodone,vilazodone,vilazodone
winter depression,dépression hivernale,winter depression
worried,soucieux,besorgniss
,être complètement bouleversé,bipolar
,faire de la peine,manisch-depressive erkrankung
,désarroi,schlaflosigkeit
,pas avoir la frite,hoffnungslosigkeit
,va pas très fort,bedrücken
,va pas très bien,saisonale depression
,,selbstmord
