,author_gender,lang,main,mental,published,sentiment,source_followers,source_following,source_location,source_spam_probability,tags,split
2350632,MALE,en,i am overwhelmed debatenight,0,2016-10-20 02:12:22,NEGATIVE,67,305,"Geneva, Switzerland",0,['debatenight'],overwhelm debatenight
636041,FEMALE,en,andrus channeling his inner game 5 self ourmoment bluejays,0,2016-10-06 21:56:42,NEUTRAL,500,335,Switzerland,0,"['BlueJays', 'OurMoment']",andrus channel inner game 5 self ourmoment bluejay
1416543,FEMALE,en,  im so stresseeeeed for my math exam,1,2016-05-13 11:19:56,NEUTRAL,-1,0,,0,,im stresseeee math exam
3567707,UNKNOWN,en,in other news water is wet and the sky is blue,0,2016-10-29 12:22:35,NEUTRAL,348,755,"Zurich, Suisse",0,,news water wet sky blue
3493707,FEMALE,en,  its been a while he was overdue,1,2016-08-29 11:58:14,NEGATIVE,703,102,Switzerland,0,,overdu
3618803,FEMALE,en,i hate everyone,1,2016-07-30 01:47:52,NEGATIVE,1132,878,nw,0,,hate everyon
3451927,UNKNOWN,en,ungeneva the syrianrefugees conference will be attended by ban kimoon  reps of 92 countries 14 un agencies 6 intergovernmental orgs,0,2016-03-29 10:18:10,NEUTRAL,64,642,Geneva,0,['SyrianRefugees'],ungeneva syrianrefuge confer attend ban kimoon rep 92 countri 14 un agenc 6 intergovernment org
1211132,MALE,en,no body is forced to drink the blood of christ or allowed to be a pain in your ass ,0,2016-09-11 12:23:36,NEGATIVE,2724,3074,Basel,0,,bodi forc drink blood christ allow pain ass
3478071,UNKNOWN,en,jaime une video   de   cant stop the feeling  justin timberlake cover by travis atreo,0,2016-06-29 16:42:09,NEUTRAL,285,855,Switzerland,0,,jaim une video de cant stop feel justin timberlak cover travi atreo
3420958,UNKNOWN,en,lbt women are one of the most stigmatized groups in belarus  cedaw asks for comprehensive antidiscrimination law that covers sogi,0,2016-10-28 14:33:55,NEUTRAL,1124,248,,0,"['Belarus', 'CEDAW', 'LBT', 'SOGI']",lbt women one stigmat group belarus cedaw ask comprehens antidiscrimin law cover sogi
993109,FEMALE,en,sadly yes lowkey always gonna have a thing for ya,1,2016-10-09 07:37:19,NEGATIVE,72,101,Schweiz,0,,sad yes lowkey alway gonna thing ya
3477407,FEMALE,en,countdown on  ,0,2016-06-29 14:50:47,NEUTRAL,11,25,Switzerland,0,,countdown
2696736,UNKNOWN,en,the1975 chocolate cover music naikee wooo hashtags,0,2016-09-23 14:18:12,NEUTRAL,185,403,"Basel, Switzerland",0,"['chocolate', 'cover', 'music', 'naikee', 'the1975']",the1975 chocol cover music naike wooo hashtag
2361036,UNKNOWN,en,i honestly hate greys at this point but im too far in to stop,0,2016-10-20 04:12:52,NEGATIVE,160,152,"Lausanne, Vaud",0,,honest hate grey point im far stop
106759,UNKNOWN,en,us calls on mali government to sever ties with northern militia ,0,2016-10-01 05:51:16,NEGATIVE,667,666,"Tlokweng: RTB, NW,RSA",0,,us call mali govern sever tie northern militia
2518936,FEMALE,en,hugging or holding hands with someone special can instantly reduce stress yes so true,1,2016-05-22 16:26:53,NEUTRAL,502,334,Zürich,0,,hug hold hand someon special instant reduc stress yes true
1993286,UNKNOWN,en,ww2albert artillery section of 45mm antitank gun m42 fighting under cover of a smokescreen the central front,0,2016-02-18 15:59:38,NEGATIVE,64,642,Geneva,0,,ww2albert artilleri section 45mm antitank gun m42 fight cover smokescreen central front
2892207,UNKNOWN,en,  id probably die from the unbearable pain ya know,1,2016-05-25 03:23:21,NEGATIVE,2568,2733,Switzerland,0,,id probabl die unbear pain ya know
3479004,FEMALE,en,bmw vw linked to child labour over glittery mica paint  ,0,2016-07-29 07:00:37,NEUTRAL,15,86,Geneva,0,"['BMW', 'VW']",bmw vw link child labour glitteri mica paint
672320,UNKNOWN,en,  hi there sad to see you go you could still get a paper full of nice content  automatically share on twitter,0,2016-03-07 10:32:33,NEUTRAL,73500,1272,Switzerland,0,,hi sad see go could still get paper full nice content automat share twitter
2222562,FEMALE,en,from the highlands directly into my  overwhelmed hymns4hearts,0,2016-10-19 21:31:38,NEGATIVE,32,111,"Zurich, Switzerland",0,"['hymns4hearts', 'overwhelmed']",highland direct overwhelm hymns4heart
1428378,UNKNOWN,en,  kicking the puppy would be quite painful for it i guess you mean like playing chess with a pigeon  ,0,2016-05-13 13:43:23,NEUTRAL,89,80,Switzerland,0,,kick puppi would quit pain guess mean like play chess pigeon
2042152,UNKNOWN,en,siri am daughter of jyoti grover file no bl1069632054816my mother is an indian born in burma in 63her father was rehabilitated,0,2016-07-18 07:48:57,NEUTRAL,147,230,"Basel City, Switzerland",0,,siri daughter jyoti grover file bl1069632054816mi mother indian born burma 63her father rehabilit
271600,UNKNOWN,en,omg at the moment we are with you blueangels rip jeff,1,2016-06-03 18:23:37,NEGATIVE,209,634,Schweiz,0,"['BlueAngels', 'OMG']",omg moment blueangel rip jeff
2591946,MALE,en,  np or restart the router if that didnt help at least we got sadio mane,0,2016-10-22 16:59:16,NEUTRAL,2534,215,Switzerland,0,,np restart router didnt help least got sadio mane
