,main,sentiment,author_gender,keywords
1893905,@dyiicious @marrieletsgo the vo of s;g is one of the best vo ever made so it would be sad to watch the dub (even tho the dub is cool),POSITIVE,UNKNOWN,[['sad']]
1710839,i am so sad,NEGATIVE,FEMALE,[['sad']]
323788,@heatherpeace i'm so sad that i can't see you on sunday but my work begins monday at 2:00 perhaps you visit me in my bakery,NEUTRAL,FEMALE,[['sad']]
1692890,"@gengiee don't i love this one she looks so sad, as sad as your life",NEGATIVE,UNKNOWN,[['sad']]
3904507,facebook updates could help understand — and potentially treat — mental health disorders,NEUTRAL,UNKNOWN,"[['mental', 'health']]"
111038,"sad to leave my son, but happy he'll be having a wonderful time @lborouniversity",POSITIVE,UNKNOWN,[['sad']]
2687973,"the sad true is, so many people are in love and not together and so many people are together and not in love.",POSITIVE,UNKNOWN,[['sad']]
1636103,"@urunderarrest poor public education, the breakdown of the family and horrible parenting has this country damn close to ruins! its caught us",NEGATIVE,MALE,[['breakdown']]
9756,i think we all addicted,NEUTRAL,UNKNOWN,[['addict']]
3344284,humanity needs to move forward! tackle existing problems with essential solutions. –never be afraid to change for good. #designinspiration,NEGATIVE,MALE,[['afraid']]
494615,if harry ever was w kendall i'd be sad because that family hasn't the same values as his,NEGATIVE,FEMALE,[['sad']]
2276201,hopeless..,NEGATIVE,UNKNOWN,[['hopeless']]
1996456,@holtomteresa don't be sad,NEGATIVE,UNKNOWN,[['sad']]
1213287,the world we live in scares the shit out of me #ripchristinagrimmie i am so sad,NEGATIVE,FEMALE,[['sad']]
2128465,you're addicted to a feelin you can only get from me and your cigarettes.,NEGATIVE,UNKNOWN,[['addict']]
1953581,sad when im excited to do algebra hw cuz i have nothing else to do.,NEUTRAL,FEMALE,[['sad']]
2132230,he is crying omg that is so sad iam dyimg ,NEGATIVE,UNKNOWN,[['sad']]
3883699,i'm sad i'm not cleared to play yet,NEGATIVE,UNKNOWN,[['sad']]
963678,@rs_benedict a sad state of affairs when one can raise the niveau of the conversation with name calling @bobservo pls get some selfawareness,NEGATIVE,UNKNOWN,[['sad']]
2941936,lov me sum insomnia,NEUTRAL,UNKNOWN,[['insomnia']]
15563,sad day,NEUTRAL,MALE,[['sad']]
3129255,more than this is such a beautiful song but it'll always connect to a bad time for me so it makes me sad,NEGATIVE,FEMALE,[['sad']]
1009594,i'm sad and desperate for attention and i don't know how to tweet so...@bjcalvillo,NEGATIVE,MALE,[['sad']]
3803946,sonic mania is looking really cool so far. looking forward to it,NEUTRAL,UNKNOWN,[['mania']]
3122873,preparing for stressful meeting #2 for today: organizing data and watching cute stuff on youtube,NEUTRAL,UNKNOWN,[['stress']]
2159041,@theokschuldorff sad to hear you had a shitty day. @lassx @maximus2wheels,NEGATIVE,UNKNOWN,[['sad']]
560103,@o_connor254 i'm quite sad of losing him. and i think he will make his way at your team. maybe not right from the beginning but he'll do!,NEUTRAL,UNKNOWN,[['sad']]
