,main,sentiment,author_gender,keywords
2173496,"ptdrr en éco le prof il a refermé le tableau et jme suis souvenue que j'avais écrit ""tu es grosse mélissandre"" en bas j'ai pire stressé mdrr",NEUTRAL,UNKNOWN,[['stress']]
3697098,"le peu de nazis qui se sont fait chopés ont dit "" j'obéissait aux ordres "", si seulement on avait pu choper un petit hitler ou himmler la...",NEUTRAL,FEMALE,[['seul']]
3065741,"si seulement j'habitais sur paname, la vie d'ma mère j'aurai bougé",NEUTRAL,UNKNOWN,[['seul']]
2864766,"j'adore harley quinn et j'ai peur qu'elle soit conne, sexy et là juste pour être jolie.",NEUTRAL,FEMALE,[['peur']]
559630,il arrete donc pour de bon...dd. tito. dahi zoko. gbagbadeh. la panthère de niaprahio. la seule gazelle que lion n'attrape pas.la drog dure.,NEUTRAL,MALE,[['seul']]
2398824,"c'est intéressant le concept de cet espace de ""co-working"" où tout le monde bosse seul dans son bureau.",NEUTRAL,UNKNOWN,[['seul']]
3110668,manger ma soupe dans la cuisine sans musique ni télé et seul. enchaîner avec un café. je viens de fêter mes 87 ans je crois.,NEUTRAL,UNKNOWN,[['seul']]
2813450,"@yhansolo on doit battre le 14eme chez nous mais c'est chelsea et ils sont capables de tout, comme nous donc stress oui",NEUTRAL,UNKNOWN,[['stress']]
1177548,si le but dans la vie c la paix intérieure comment tu veux j'réussisse j'suis au bord d'la crise cardiaque à cause du stress,NEUTRAL,UNKNOWN,[['stress']]
3642766,mon passage préféré quand julien parle tt seul mdrrr #ss10,NEUTRAL,UNKNOWN,[['seul']]
1989068,j'ai fait qu'une seule vente aujourd'hui... @lessyagold #warcraft ! ,NEUTRAL,MALE,[['seul']]
886436,le boule de maeva mérite à lui seul d'aller en finale mon frer.. gaaahdayummmnnn #ss10,NEUTRAL,UNKNOWN,[['seul']]
3899735,la seule hétéro que je suis c hétéroclite,NEUTRAL,UNKNOWN,[['seul']]
1355114,@the_real_aj_ en fait on est les seuls à foirer à ce niveau apparemment,NEUTRAL,MALE,[['seul']]
1963133,@suppareddo oééé j pa peur moa jsui un ouf,NEUTRAL,UNKNOWN,[['peur']]
2432078,j'ai peur léa m'as dis de rester chez moi dimanche,NEUTRAL,UNKNOWN,[['peur']]
1962392,@serieszarry perso j'aurais trop peur de le décevoir ou je le faire chier pour faire qqch qui pourrait l'énerver,NEUTRAL,FEMALE,[['peur']]
1206390,"je demande une chose, une seule et t'es pas pas capable",NEUTRAL,FEMALE,[['seul']]
1654022,"@caroleacovello @rpr8395 @18coconicole le seul moment où on l'a perdu de vue,c'est quand il était au canada",NEUTRAL,UNKNOWN,[['seul']]
347921,si je me ramasse encore un choc j'arrache cet appareil toute seule meme si ça va faire super mal.,NEUTRAL,UNKNOWN,[['seul']]
135944,"si tu veux regarder qu'une seule série , regardes #greysanatomy . un épisode , une leçon de vie .",NEUTRAL,UNKNOWN,[['seul']]
2327180,"@paco_one @paleofestival c'est ça justement, je penses que c'est la seule façon d'eviter que les profiteur se fasse de l'argent sur nous",NEUTRAL,UNKNOWN,[['seul']]
3889550,"parce qu'en ce moment j'arrive pas à voir du monde, j'ai peur de m'effondrer si je vois mes amies (je sais que j'ai le droit de le faire",NEUTRAL,FEMALE,[['peur']]
2442591,je viens de me taper un énorme coup de stress parce qu'en rentrant après trois jours d'absence je retrouve plus la boite de pdm4,NEUTRAL,UNKNOWN,[['stress']]
2210449,#éducation: seule l'éducation peut illuminer un esprit obscur! #amour: seul l'amour peut guérir un cœur brisé! ,NEUTRAL,FEMALE,[['seul']]
2989496,en plus je me disais que shaqiri c'était le seul qui bougeait devant et qui pouvait marquer et bim !,NEUTRAL,UNKNOWN,[['seul']]
275840,@queenlisi j'ai mal écris .... je voulais dire le seul truc insup avec la bière * cest les sourcils qui poussent trop vite,NEUTRAL,UNKNOWN,[['seul']]
2331540,je me sens tellement seule,NEUTRAL,UNKNOWN,[['seul']]
447164,"demain j'ai rdv avec mon pédiatre, c'est juste un contrôle mais j'ai tellement peur.",NEUTRAL,UNKNOWN,[['peur']]
1014527,#tusaisquetaimeslesseriesquand qqch te fait penser aux séries mais comme t seul à connaitre tu souris intérieurement...,NEUTRAL,UNKNOWN,[['seul']]
1703908,y a un lampadaire qui vient de s'éteindre tout seul. ambiance.,NEUTRAL,UNKNOWN,[['seul']]
1026583,faut que je trouve un moyen d'être moins stressée à cause de l'école parce que j'vais pas tenir toute l'année comme ça,NEUTRAL,UNKNOWN,[['stress']]
969059,quelles solutions pour travailler de manière collaborative sur une seule adresse email ? vs connaissez des tools ?,NEUTRAL,MALE,[['seul']]
3162048,"@kuffarakbar1 je me répète, je n'ai cité d'un seul exemple parmi tant d'autres",NEUTRAL,UNKNOWN,[['seul']]
1188967,"en tout cas je ne sais pas ce qu'il y a dans ce thé detox du soir, mais c'est du bon je fais de ces rêves improbables ça fait peur",NEUTRAL,FEMALE,[['peur']]
230143,@arzijelezi ah ça va je pensais j'étais la seule,NEUTRAL,FEMALE,[['seul']]
3315147,"ptn si je réserve mtn des billets d'avion pour le bled pour le mois de mars, ça coûte seulement 75.- aller retour !!!",NEUTRAL,UNKNOWN,[['seul']]
2876358,@taquoirajhi la wsh j'ai commencé à stresser bc en plus j'étais seule et je connaissais pas bien la ville bref après jme suis dit-,NEUTRAL,UNKNOWN,"[['seul'], ['stress']]"
1268289,"j'arrive chez mon médecin jlui dit je stress pour l'opération, tout ce qu'il trouve à me dire c'est ""on est 2 comme ça""",NEUTRAL,UNKNOWN,[['stress']]
149920,"@mangatriceotaku higurashi, c'est plus du gore et de la psychologie que de l'horreur. rien qui fasse peur, j'ai vu cela à 14 ans. x)",NEUTRAL,UNKNOWN,[['peur']]
3467120,@ushiromiyanis @ozuhanoi actuellement la fin du t7 est cool dans kai l'anime. probablement une des seules bonnes scènes.,NEUTRAL,FEMALE,[['seul']]
2759089,sérieux pourquoi je suis dans une classe avec que des meufs et un seul gars,NEUTRAL,UNKNOWN,[['seul']]
38704,@raggoskan @origoku si seulement y'avait que ça de débile dans cette vidéo.,NEUTRAL,UNKNOWN,[['seul']]
3171109,@lenwesaralonde : omg la vision d'horreur ! j'ai eu peur ce soir en voyant une enveloppe dépassant de moitié de la boîte aussi. soutien ! :(,NEGATIVE,UNKNOWN,[['peur']]
1602850,j'ai pas vu une seule seconde de gameplay de zelda.,NEUTRAL,UNKNOWN,[['seul']]
952886,"@talofficial c'est chou comme t'es stressée, mais tkt pas, on kiffe !!",NEUTRAL,FEMALE,[['stress']]
3644800,@nastingbw oui mais c'était seulement desac la c'est supprimé supprimé genre pour la vie,NEUTRAL,FEMALE,[['seul']]
1412964,@yannisastucespc il y a un seul câble ?,NEUTRAL,MALE,[['seul']]
1688783,"la soirée des concours et la seule note positive de ce week-end,adam silver au lieu de changer les règles des fautes doit se pencher dessus.",NEUTRAL,MALE,[['seul']]
625485,"c'est comme quand l'espagne était championne d'europe, le seul match de l'euro qu'ils avaient perdu c'était contre la suisse.",NEUTRAL,UNKNOWN,[['seul']]
2411368,putain g jurer sa m stress de pas être dans ce délire du tg la je comprend rien vie de moi,NEUTRAL,UNKNOWN,[['stress']]
874888,je ne généralise pas. mais si seulement c'était un petit nombre de gens que je côtoye... @oli3979,NEUTRAL,MALE,[['seul']]
1211247,la suisse qui marque ce sera probablement leur seul but pendant l'euro,NEUTRAL,UNKNOWN,[['seul']]
1747454,@wtflaulau tu stresses pour demain ?,NEUTRAL,UNKNOWN,[['stress']]
3099529,@arnaud_cerutti les deux allemands font presque plus peur de mon avis. et le shakthar un peu en retrait depuis son exil à kiev.,NEUTRAL,MALE,[['peur']]
2689622,@notedecoeur :-( vois ça seulement maintenant…sorry,NEGATIVE,MALE,[['seul']]
1251084,les phases où je suis parano sa me fait auto rigoler,NEUTRAL,UNKNOWN,[['parano']]
3461631,@ushiromiyanis @flaruu @negativejolteon moi qd tt le monde s'enjaille alors que les ténèbres sont mes seules amies ,NEUTRAL,UNKNOWN,[['seul']]
1500987,je prends donc le choix de finir seul un bonne fois pour toute,NEUTRAL,UNKNOWN,[['seul']]
2652445,uber airbnb ikea streaming nous contribuons tous a la disparition des métiers. seule réponse équitable et moderne : un #revenuuniversel,NEUTRAL,MALE,[['seul']]
2619008,@nicolasroulin @ducommnath c’est avs seul ou avs plus 2e pilier?,NEUTRAL,MALE,[['seul']]
2313906,@bitw_stephane je pense un moyen de faire peur a goku je pense pas que monaka soit meilleur,NEUTRAL,UNKNOWN,[['peur']]
3186720,@peytole si seulement,NEUTRAL,MALE,[['seul']]
2270390,ca me fait vrmt trop peur,NEUTRAL,FEMALE,[['peur']]
2963149,"j'regarde la story d'une seule personne (elle se reconnaîtra), que quand g l'time que j'matte toute les stories",NEUTRAL,UNKNOWN,[['seul']]
1553624,@daweskaa comme devoir rester jusqu'à 23h a la biblio réviser dla merde sur papier dont la seule éventuelle utilité serait d'me torcher avec,NEUTRAL,UNKNOWN,[['seul']]
434541,ça fais cogite pourquoi lui pourquoi pas moi si jfume dla weed c'est que c'est le seul moyen de te revoir,NEUTRAL,UNKNOWN,[['seul']]
2020793,"@etienne_cdl quad, meuf : la seule réponse valable à l'invite de twitter.",NEUTRAL,UNKNOWN,[['seul']]
1782589,on dirait jsuis la seule en vacances,NEUTRAL,UNKNOWN,[['seul']]
3303940,tellement vrai! le voyage est la seule chose que l'on peut acheter et qui nous rend plus riche #traveltuesday @stayplaydine #worldtourismday,NEUTRAL,FEMALE,[['seul']]
3882214,j'avais trop peur de pas trouver ma salle d'anglais alors que je l'ai easily find,NEUTRAL,UNKNOWN,[['peur']]
2870390,@tessugar mais elle est au paléo toute seule mais tkt je gère,NEUTRAL,UNKNOWN,[['seul']]
3456142,@cyrilhanouna on sera là on a tellement hâte de te retrouver tu nous manques ne stresse pas,NEUTRAL,UNKNOWN,[['stress']]
2379779,le seul argument des gens c le 7-1 jsuis ko c quoi ça #brager,NEUTRAL,UNKNOWN,[['seul']]
1662961,"ma sœur elle a 14 ans elle a dit : ""on peut pas laisser les hommes sites les choses tout seuls. ils foirent toujours.""",NEUTRAL,UNKNOWN,[['seul']]
2317161,@bubblewdw ça fait pas forcément peur mais tu sens que quelque chose va se passer mais tu sursautes quand même haha,NEUTRAL,FEMALE,[['peur']]
2817456,pour moi le stress monte sa mère..,NEUTRAL,UNKNOWN,[['stress']]
2006472,mes tests médicaux sont les seuls où j'ai toujours excellent,NEUTRAL,MALE,[['seul']]
252701,"nehuda grosse pute irrespectueuse que tu es, grosse chienne le seul truc qui va percer cest ta #lesanges8",NEUTRAL,UNKNOWN,[['seul']]
2806115,j'écoute pas du tout donc je peux pas juger est-ce que jsuis la seule à trouver la kpop pas terrible ?,NEUTRAL,FEMALE,[['seul']]
3899544,je stress trop pour ce 1er entraînement de course à pied,NEUTRAL,FEMALE,[['stress']]
640083,anecdote : mon premier pipi seul ,NEUTRAL,UNKNOWN,[['seul']]
2394799,@meeea j'ai peur en voyant cette image. o_o,NEUTRAL,UNKNOWN,[['peur']]
249758,melanie c'est la seule bien,NEUTRAL,UNKNOWN,[['seul']]
2207705,"en 4ans de collège, la seule fois où j'ai un horrible bouton de fièvre, c'est quand j'ai mon bal",NEUTRAL,UNKNOWN,[['seul']]
1644215,bah au moins maintenant sa passe sur une seul ligne,NEUTRAL,FEMALE,[['seul']]
3797135,"même halloween a peur des clowns - cette année, le traditionnel costume de clown fait peur et est devenu trop s...",NEUTRAL,UNKNOWN,[['peur']]
252044,@nancympoyi @patrickmutambay ça prouve seulement ce que nous préparent dans leur cuisine les détenteurs de l'imperium.,NEUTRAL,UNKNOWN,[['seul']]
3647088,@alexiaasw cette vue c'est le seul point positif à ce trajet de pendulaire #suisse,NEUTRAL,UNKNOWN,[['seul']]
3488709,@keyhan95 dis toi que si tu grade seulement sergent c'est de la groooosse merde haha,NEUTRAL,UNKNOWN,[['seul']]
3705675,"le gars il a eu peur de jump ! la femme, elle, avait déjà prévue de s'en tirer.. c'est vicieux !!",NEUTRAL,UNKNOWN,[['peur']]
3866425,"@cheshire2022 bah, c'est mieux que d'avoir un seul type qui fait tout. xd",NEUTRAL,UNKNOWN,[['seul']]
1823578,"blaisou. le seul, l’unique.",NEUTRAL,MALE,[['seul']]
2234755,je peine à trouver le sommeil dieu seul sait pourquoi,NEUTRAL,UNKNOWN,[['seul']]
2917230,"waaaa comment je flipperai trop 0o mon prof de photo ressemble au prof de photo dans life is strange. pis au premier cours, il nous parle du daguerréotype. ... g peur",NEUTRAL,FEMALE,[['peur']]
3765863,@fleooh le seul ? mdrrr jvais carrément les chercher sur youtube moi,NEUTRAL,MALE,[['seul']]
119087,bien sympa de voir #starwarstheforceawakens seul dans une salle de cinéma :),POSITIVE,UNKNOWN,[['seul']]
2138182,@commodus mmmmh miam j'ai été mangé qu'une seule fois la bas c'est délicieux,NEUTRAL,FEMALE,[['seul']]
3793807,mdrrrr oh je suis pas seule alors @cobainblood @laegrz @clara__fiicx bon jvois que y'a pas que moi mdddr,NEUTRAL,UNKNOWN,[['seul']]
3856442,qu'on est les seules à comprendre,NEUTRAL,UNKNOWN,[['seul']]
798269,ptn marre jme tape un 4 alors que l'autre là a bossé seulement 2h et s'est tapé un 5.5,NEUTRAL,UNKNOWN,[['seul']]
