,main,sentiment,author_gender,keywords
1762726,@irnerius1 natürlich. jedoch besteht bei uns die möglichkeit zu vergleichen ohne stress und einfache zahlungen mit #käuferschutz. #shareline,NEUTRAL,UNKNOWN,[['stress']]
2462763,@suppechaschper traurig. ich drücke dich.,NEUTRAL,FEMALE,"[['traurig'], ['traurig']]"
2543580,"shice woche. ich hätt jetzt gern ein bier, ne kippe und eine insel für mich allein",NEUTRAL,UNKNOWN,[['allein']]
3755243,"@flippedmathe @faznet angst hat, wer etwas nicht versteht und nicht begreift / begreifen kann - die meisten lehrerinnen haben angst",NEUTRAL,MALE,[['angst']]
1579966,"@tahirovic_ch somit ist das, was ein #gottesstaat tut, nämlich zu behaupten, im alleinigen besitz der wahrheit zu sein, #gotteslästerung.",NEUTRAL,MALE,[['allein']]
1234267,@dasmeldk dich hab ich seit nem jahr nicht mehr auf dubstaps gesehen. ja den traurigen blick.,NEUTRAL,UNKNOWN,"[['traurig'], ['traurig']]"
1313656,#oeffentlichkeit40 - aber #generationy sucht integration und diskurs über menschen und vorbilder,NEUTRAL,MALE,[['sucht']]
1036420,@wgamper keine angst. das ist sicher eine kompetente kandidatin.,NEUTRAL,UNKNOWN,[['angst']]
111222,das radio uahid team sucht nach verstärkung! bist du dabei?,NEUTRAL,UNKNOWN,[['sucht']]
2501996,hoffnungsloser versuch das #gamescom bändchen heil loszuwerden ,NEUTRAL,UNKNOWN,[['hoffnungslos']]
375783,traurig das heute einer der größten trainer vom sv waldenburg verabschiedet wird#danke dirk und viel glück für die zukunft!!!,NEUTRAL,MALE,"[['traurig'], ['traurig']]"
2953853,"es macht mich wütend und traurig zu gleich, zu wissen, dass es leute gibt, die diese lügen von der svp glauben.",NEUTRAL,FEMALE,"[['traurig'], ['traurig']]"
3003731,"@soziale_plastik @litleboest es ist sogar ein enorm wichtiges verhältnis m. seiner, eigenen einsamkeit.ohne versteht kein mensch sich selbst",NEUTRAL,UNKNOWN,[['einsam']]
1772313,alleine an so nem kleinen kack bahnhof zu stehen ist n bissl gruselig,NEUTRAL,UNKNOWN,[['allein']]
837816,jetzt bin ich alleine zuhause.,NEUTRAL,UNKNOWN,[['allein']]
1073855,"@thebenshee keine angst, dieser thread war nicht ernst gemeint. :d ich fand ihn nur witzig und habe es kommentarlos gepostet.",POSITIVE,UNKNOWN,[['angst']]
2945242,@therealskildust ne hab glaube ich meine ersten depressionen.,NEUTRAL,UNKNOWN,[['depression']]
1930370,"#mbidextrousorganisations ""die botschaft hör' ich wohl, allein mir fehlt der glaube.“ goethes faust @ralph_ohr @paul4innovating",NEUTRAL,MALE,[['allein']]
3720857,@geroldschlegel hesch scho stress i de neue wuche?...,NEUTRAL,MALE,[['stress']]
3680339,"50' mark #arcobello, zieht alleine auf jonas hiller ... *3:1",NEUTRAL,UNKNOWN,[['allein']]
1648199,ich bin heute hier. alleine. muss auch mal sein. #rabenmutter ,NEUTRAL,UNKNOWN,[['allein']]
1292406,"@familienmann ach was. das ist alles nur angstmacherei von leuten, die angst vor der durchsetzungsinitiative haben.",NEUTRAL,MALE,[['angst']]
1263421,"@janos_straub auf diesen verzweifelten schrei nach aufmerksamkeit gehen wir nicht weiter ein, da zu plumpe polemik.",NEUTRAL,UNKNOWN,[['verzweifelt']]
930034,"sucht das gute (christus) und nicht das böse, damit ihr lebt; dann wird der herr so mit euch sein, wie ihr es immer sagt! - amos 5,14",NEUTRAL,MALE,[['sucht']]
1651135,"ich war heute am wasser, da fuhr ein boot vorbei das hat getrötet. da bekam ein hund so stress. er kotzte eine maus. iiiiks",NEUTRAL,FEMALE,[['stress']]
2747296,"kopfschmerzen wegen dem stress ist das letzte, was ich gerade brauche",NEUTRAL,FEMALE,[['stress']]
2141620,wür ja gern die nacht wieder nöd allei schlafe,NEUTRAL,UNKNOWN,[['allei']]
1718048,sitz' grad' alleine am pc und zieh' mir youtube videos rein xd,NEUTRAL,UNKNOWN,[['allein']]
2860030,@dronkso @zimtsternmaus habe angst vor blitzschlag hier,NEUTRAL,UNKNOWN,[['angst']]
1300857,#wohnrevue #modulør #zeitschrift #boll #verlag ag sucht #praktikant/in redaktion 100% und #kaufmännische/n #praktikant/in 100%,NEUTRAL,UNKNOWN,[['sucht']]
3409409,@krippmarie das musste ja so kommen. it wird von der gesamten eu alleine gelassen. also raus aus ihr und wieder selbständig werden.,NEUTRAL,MALE,[['allein']]
2973098,reggae löst 'heimweh' nach panama aus... #wannagoback #wanderlust,NEUTRAL,FEMALE,[['heimweh']]
1087044,"@wunderalicebern medis, selbstmord, drogen dürfte die wahre reihenfolge sein",NEUTRAL,MALE,[['selbstmord']]
3177360,psychotherapeut christian peter dogs: es gibt einen ausweg aus angst und depressionen | stern.de,NEUTRAL,UNKNOWN,"[['angst'], ['depression']]"
2079027,"@deifi17 es geht vielen schon nicht mehr gut..der deutsche ist in einer ""tiefen depression"", um den glauben an veränderung zu haben..",NEUTRAL,FEMALE,[['depression']]
2443562,ich habe angst vor der zukunft.,NEUTRAL,FEMALE,[['angst']]
1315835,@andrisilbi_ was etwa die staatliche ubs-notrettung und der beinahe-zusammenbruch islands ja eindrücklich bewiesen hat. @jungfreisinnige,NEUTRAL,UNKNOWN,[['zusammenbruch']]
3747714,guten morgen es ist immer dunkler am morgen. und ich bin nicht alleine unterwegs auf dem feldweg!  ,NEUTRAL,MALE,[['allein']]
916159,das radio uahid team sucht nach verstärkung! bist du dabei?,NEUTRAL,UNKNOWN,[['sucht']]
3477536,angst,NEUTRAL,FEMALE,[['angst']]
245188,"@nekoalexachan ich könnte niemals für dich kochen, hätte dann angst dass ich zuweig mache",NEUTRAL,UNKNOWN,[['angst']]
3438689,"tooooooor für den #fcsg durch #buess, der nach einer kopfballabwehr von #wiss alleine auf zibung loslief. 1:0 (63.)! ",NEUTRAL,UNKNOWN,[['allein']]
1417370,trotz kontrastreichem ernte jahr: #reitzel sucht neue #cornichons-anbauer in der schweiz,NEUTRAL,UNKNOWN,[['sucht']]
115605,@lookiex mini grösst angst isch immerno so langwiilig zsterbe müese,NEUTRAL,UNKNOWN,[['angst']]
256499,es ist wirklich traurig dass die realität schlimmer ist als ich #blog #beitragstitel erfinden kann,NEUTRAL,UNKNOWN,"[['traurig'], ['traurig']]"
2332861,"@jcfrick allein für dich, würde sich ein berner apple store schon lohnen",NEUTRAL,UNKNOWN,[['allein']]
3195959,@nureinmy du bist nicht allein. magst du mir davon berichten?,NEUTRAL,FEMALE,[['allein']]
3339209,@post - bitte sucht doch nach wirklichen lösungen,NEUTRAL,MALE,[['sucht']]
2401220,@kiwisunbar ...und sucht nach irgendwelchen ungetümen in den strassen unserer welt,NEUTRAL,UNKNOWN,[['sucht']]
3607748,ich weiss nöd ob ich hunger han oder eifach sauer und trurig bin.,NEUTRAL,UNKNOWN,[['trurig']]
3244943,@katrinhundt ähm ... darf ich das vielleicht auch allein mampfen? nachher ... ähm. .. bleibt nichts mehr für mich übrig,NEUTRAL,UNKNOWN,[['allein']]
3670168,"ich han ez scho schiss devor all die halloweenlüt zgseh. nöd willi angst han per se, sondern will das de abgrund vo minere generation isch.",NEUTRAL,UNKNOWN,[['angst']]
1985773,"@4x01071 immer diese angst, wenn man jemanden sein handy gibt und der versehentlich die twitter-app öffnet",NEUTRAL,UNKNOWN,[['angst']]
1765924,"@akadierin und oft genug werden belästigte allein gelassen. auch am arbeitsplatz. und v.a. wenn dann diejenige, bei der du dich beschwerst",NEUTRAL,UNKNOWN,[['allein']]
772109,"@benihuggel typisches stocker-tor. ein gewusel, abgelenkter ball. komm bald heim, @vstocker89 #hunsui",NEUTRAL,UNKNOWN,[['abgelenkt']]
2465057,"@larmins_cock aber sie ist so klein.. ich hab angst, dass ich sie aus versehen ganz aufesse ;w;",NEUTRAL,UNKNOWN,[['angst']]
2660774,@janzuppinger @ohagen71 der paranoide putsch?,NEUTRAL,MALE,[['paranoid']]
2636258,"@diespastine so vo wege trurige film.. ""be my valentine""... hani no 100x meh müsse hüle als bi dim..",NEUTRAL,FEMALE,[['trurig']]
2218604,s ich fallen lassen o hne stress n ichts denken n ur relaxen t räumen a uszeit nehmen g enüsslich kaffee trinken,NEUTRAL,UNKNOWN,[['stress']]
1438057,"keine angst, deutschland! #demokratie #landtagswahl2016 #fcknzs",NEUTRAL,MALE,[['angst']]
1047152,@myuusic mein vater wird immer vergesslicher was mir sorgen macht. allein der gedanke daran macht mich traurig. nur besuche ich nicht daran,NEUTRAL,UNKNOWN,"[['allein'], ['traurig'], ['traurig']]"
473377,"@rebrosig @landurologe vllt aus angst, weil ich die betäubungsspritze gleich ansetzen wollte… ;)",POSITIVE,UNKNOWN,[['angst']]
1964741,"@razinger das wird dann aber ein ziemlicher stress, wenn er gleich für drei clubs spielen muss...",NEUTRAL,MALE,[['stress']]
1189445,@alltagimrettung @2bhex genau. die koennen auf den breiten straßen gefahrlos überholen und ich muss net ständig bremsen und angst haben,NEUTRAL,UNKNOWN,[['angst']]
1703027,ich hasses allei muesse henge ide schuel ugh,NEUTRAL,FEMALE,[['allei']]
99539,samstag nachmittag. traurige frauen trinken farbige champagner mixgetränke. das wetter dreht.,NEUTRAL,UNKNOWN,"[['traurig'], ['traurig']]"
1329014,ivan macht uns ein bisschen angst. irgendwie. #belarus #esc2016 #eurovision,NEUTRAL,UNKNOWN,[['angst']]
2792244,"@viv0333 jahaaa, ganz alleine für dich!",NEUTRAL,UNKNOWN,[['allein']]
3711159,meine playlist ist voll mit traurigen liedern.. irgendwas läuft bei mir falsch,NEUTRAL,FEMALE,"[['traurig'], ['traurig']]"
3227851,"ich liebe sex, bin sehr flexibel in den thema, wer einen ausdauer hängst sucht, ich bin besuchbar....meldet euch.",NEUTRAL,FEMALE,[['sucht']]
1897468,das radio uahid team sucht nach verstärkung! bist du dabei? ,NEUTRAL,UNKNOWN,[['sucht']]
935833,@_kuromi @bitsubachi keine angst keine angst! man muss ja nicht irgendwelche vorgaben erfüllen sondern einfach spass haben >w<)9,NEUTRAL,UNKNOWN,[['angst']]
2674313,@misssunshine_03 @noob_fl ..macht zu viel stress..,NEUTRAL,UNKNOWN,[['stress']]
2067738,"als meine ösi masseurin in der leistengegend angekommen war,fragte sie mich,ob ich germknödel mag.ich hatte angst es wäre einer rausgefallen",NEUTRAL,UNKNOWN,[['angst']]
478912,ich hab so angst. man. ich will in 10 tagen so ein m&g.. @dagibee,NEUTRAL,UNKNOWN,[['angst']]
3779641,"@mikuistnurdeko alleine dieser krebs mit den data volumes ... versuch die mal, in eine andere az zu schieben, wenn du aws nutzt.",NEUTRAL,MALE,[['allein']]
622292,"@dimakoslowski @twintvofficial @malumsbaekhyun @marspet man macht über depressionen keine witze, verdammter bastard!",NEUTRAL,UNKNOWN,[['depression']]
2553587,@sttnkng ich hab hier 22 grad wenn ich heimkomme wahrscheinlich direkt winter depressionen haha,NEUTRAL,UNKNOWN,[['depression']]
