english,french,german
mental health,santé mentale,psychische gesundheit
depression,depression,depression
eating disorder,trouble du comportement alimentaire,essstörung
suicide,suicide,selbstmord
ptsd,stress post-traumatique,ptbs
mental illness,maladie mentale,geisteserkrankung
addiction,toxicomanie,abhängigkeit
bipolar,bipolaire,manisch depressiv
,psychiatrie,suizid
,,geistige gesundheit
,,seelische gesundheit
,,psychische erkrankung
,,geistesgestörtheit
,,posttraumatische belastungsstörung
,,suchtkrankheit
