,main,sentiment,author_gender,keywords
2883095,@brunaslvt je suis actuellement seule,NEUTRAL,FEMALE,[['seul']]
448099,elles m'ont stressée là il me faut absolument une robe pour le bal,NEUTRAL,UNKNOWN,[['stress']]
1530517,"[20.00] à l'approche d'halloween, #rougetv mêle les grands genres du cinéma. rires et peurs garantis. #transylmania",NEUTRAL,UNKNOWN,[['peur']]
2538468,en vrai j'aime bien lire que vous avez eu peur parce que j'admets que quand ça bloquait chez moi je me suis sentie un peu vide.,NEUTRAL,FEMALE,[['peur']]
1420089,@ntukabisa @victorokito2 @congo243nabeto @lydieomanga @mahanguhm @tresinsolent vk va seul et négocie seul. rassop = réunion d'abord + décisi,NEUTRAL,UNKNOWN,[['seul']]
1935872,elle me stress cette vente de billets en plus normalement en devrais être en cours à ce moment là,NEUTRAL,FEMALE,[['stress']]
2220061,ça me stresse un ptit peu,NEUTRAL,UNKNOWN,[['stress']]
3218922,j'aime une vidéo @youtube de @fastgoodcuisine - 3 recettes rapides pour le goûter avec 3 ingrédients seulement !,NEUTRAL,UNKNOWN,[['seul']]
2122358,@charleyvh_ mais tellement ! quand je dis ça au gens il me regardent bizarre. merci je me sens moins seuls :p,NEUTRAL,UNKNOWN,[['seul']]
139873,"@kazouko oui, j'suis sérieuse, c'est le truc qui m'angoisse le plus. et aussi la crèche elle a du carrelage blanc, ça fait peur",NEUTRAL,UNKNOWN,[['peur']]
516065,@aymonjenny même pas peur,NEUTRAL,FEMALE,[['peur']]
2249116,"mon frère est allé se faire élargir un peu le trou du lobe, il a tellement stressé qu'il est tombé dans les pommes...",NEUTRAL,UNKNOWN,[['stress']]
1089223,"@mogolovestommo 14h, jsuis en train de me transformer en liquide à cause du stress",NEUTRAL,UNKNOWN,[['stress']]
3846204,"uppers par les mecs de senran kagura où les devs ont peur que le jeu se foire, ajoute des persos de senran kagura comme daidôji #troll",NEUTRAL,UNKNOWN,[['peur']]
1400523,"la peur te fais faire des erreurs au risque de tout perdre.... pardonner , se pardonner .... avancer ...",NEUTRAL,FEMALE,[['peur']]
3408306,"@latiiis arceus, le seul, le vrai.",NEUTRAL,UNKNOWN,[['seul']]
1687780,@bruno_bourcy c'est seulement pour les fonctionnaires.,NEUTRAL,MALE,[['seul']]
1926820,@vrhslena et mélangé ça passe tout seul,NEUTRAL,UNKNOWN,[['seul']]
2068006,@slcybag oui je pleure j'ai trouvé qu'un magasin qui en avait et genre 5 différents seulement...,NEUTRAL,UNKNOWN,[['seul']]
2383162,@joaobap57934294 jkk % cie sont non seulement des mythomanes mais de djihadistes. il faut savoir choisir ses fréquentation. oko kufa double,NEUTRAL,UNKNOWN,[['seul']]
3934066,@_wiiizk ce bouffon de merde il dit qu'il veut quitter secret pck avec mélanie cest fini sois disant mdr moi jpense il a peur du sas ce fdp,NEUTRAL,UNKNOWN,[['peur']]
2932391,démoralisé/20. ça me stresse tellement ces problèmes de fric,NEUTRAL,MALE,[['stress']]
2840941,si seulement tous les jours je pouvais me sentir de cette facon,NEUTRAL,UNKNOWN,[['seul']]
1299627,@mathieu_bua sinon ils se sentent trop seuls je crois,NEUTRAL,UNKNOWN,[['seul']]
813543,vous avez peur de rien vraiment vous,NEUTRAL,UNKNOWN,[['peur']]
531786,jai l'impression d'avoir vécu un décalage horaire alr que kedal le seul décalage il est dans mon cerveau,NEUTRAL,UNKNOWN,[['seul']]
1763508,"“j'suis un peu parano mais parfois ça m'convient, vaut mieux s'auto-détruire qu’être détruit par quelqu'un.”",NEUTRAL,UNKNOWN,[['parano']]
3123925,le seul soldat héroïque est celui qui le devient par nécessité pour se révolter contre la tyrannie,NEUTRAL,UNKNOWN,[['seul']]
1075504,je stress trop pour le voyage,NEUTRAL,FEMALE,[['stress']]
704828,@apikachouw @vine j'ai presque eu peur. xd,NEUTRAL,UNKNOWN,[['peur']]
465794,"@flofondacci @jarryatypique atypiquement drôle, atypiquement touchant,on ne s'en lasse pas au contraire on devient très vite accro",NEUTRAL,FEMALE,[['accro']]
3869277,@caeciliacecilia comment kekuaaa!? c'est pas une version de 25 minutes! o.o dessu :< (non) hihihi bon je m'attendais pas à seulement 20s ^^,NEUTRAL,UNKNOWN,[['seul']]
3397852,il a essayé de m'expliquer que ma phobie de parler en public c'était pas une phobie que lui il avait aussi peur de parler en public et que,NEUTRAL,UNKNOWN,[['peur']]
2134367,mon seul buddy. pour toujours. je me remettrai au jeu quand il fera un peu plus fraîs~~ ,NEUTRAL,MALE,[['seul']]
1121615,"@appayap pas de place pour les regrets, seulement pour mes projets d'avenir",NEUTRAL,FEMALE,[['seul']]
889446,(seule) bonne nouvelle de la journée ,NEUTRAL,UNKNOWN,[['seul']]
344505,@grace_yahveh car le pere n'a pas les bras ni les jambes ce qui fait de jésus dieu car seul homme à avoir dieu en lui,NEUTRAL,UNKNOWN,[['seul']]
2620588,connaître le future.. ok.. mais seulement au niveau subatomique,NEUTRAL,UNKNOWN,[['seul']]
676207,j suis le seul survivant ici on dirait mdr !,NEUTRAL,UNKNOWN,[['seul']]
